Agent A,Agent B,Wins A,Wins B,Draws
DQN,MinimaxQ,290,45,89
DQN,NashQ,290,86,89
DQN,PHC,290,128,89
DQN,PPO,290,231,89
MinimaxQ,NashQ,45,86,170
MinimaxQ,PHC,45,128,170
MinimaxQ,PPO,45,231,170
NashQ,PHC,86,128,131
NashQ,PPO,86,231,131
PHC,PPO,128,231,40
