Agent A,Agent B,Wins A,Wins B,Draws
DQN,MinimaxQ,276,50,97
DQN,NashQ,276,72,97
DQN,PHC,276,132,97
DQN,PPO,276,224,97
MinimaxQ,NashQ,50,72,186
MinimaxQ,PHC,50,132,186
MinimaxQ,PPO,50,224,186
NashQ,PHC,72,132,148
NashQ,PPO,72,224,148
PHC,PPO,132,224,50
