Agent A,Agent B,Wins A,Wins B,Draws
DQN,MinimaxQ,295,51,80
DQN,NashQ,295,135,80
DQN,PHC,295,90,80
DQN,PPO,295,207,80
MinimaxQ,NashQ,51,135,170
MinimaxQ,PHC,51,90,170
MinimaxQ,PPO,51,207,170
NashQ,PHC,135,90,134
NashQ,PPO,135,207,134
PHC,PPO,90,207,46
