Agent A,Agent B,Wins A,Wins B,Draws
DQN,MinimaxQ,290,44,90
DQN,NashQ,290,80,90
DQN,PHC,290,119,90
DQN,PPO,290,232,90
MinimaxQ,NashQ,44,80,178
MinimaxQ,PHC,44,119,178
MinimaxQ,PPO,44,232,178
NashQ,PHC,80,119,147
NashQ,PPO,80,232,147
PHC,PPO,119,232,46
