Agent A,Agent B,Wins A,Wins B,Draws
DQN,MinimaxQ,278,47,103
DQN,NashQ,278,82,103
DQN,PHC,278,98,103
DQN,PPO,278,238,103
MinimaxQ,NashQ,47,82,191
MinimaxQ,PHC,47,98,191
MinimaxQ,PPO,47,238,191
NashQ,PHC,82,98,153
NashQ,PPO,82,238,153
PHC,PPO,98,238,54
