episode,winner,PPO,Random
1271,PPO,1,-1
1272,PPO,1,-1
1273,Random,-1,1
1274,PPO,1,-1
1275,Random,-1,1
1276,PPO,1,-1
1277,PPO,1,-1
1278,PPO,1,-1
1279,PPO,1,-1
1280,Random,-1,1
1281,PPO,1,-1
1282,PPO,1,-1
1283,PPO,1,-1
1284,PPO,1,-1
1285,PPO,1,-1
1286,PPO,1,-1
1287,PPO,1,-1
1288,PPO,1,-1
1289,PPO,1,-1
1290,PPO,1,-1
1291,Random,-1,1
1292,PPO,1,-1
1293,PPO,1,-1
1294,PPO,1,-1
1295,PPO,1,-1
1296,PPO,1,-1
1297,PPO,1,-1
1298,PPO,1,-1
1299,PPO,1,-1
1300,PPO,1,-1
1301,Random,-1,1
1302,Random,-1,1
1303,Random,-1,1
1304,Random,-1,1
1305,PPO,1,-1
1306,PPO,1,-1
1307,PPO,1,-1
1308,PPO,1,-1
1309,PPO,1,-1
1310,PPO,1,-1
1311,PPO,1,-1
1312,Random,-1,1
1313,PPO,1,-1
1314,PPO,1,-1
1315,PPO,1,-1
1316,PPO,1,-1
1317,PPO,1,-1
1318,PPO,1,-1
1319,PPO,1,-1
1320,PPO,1,-1
1321,PPO,1,-1
1322,Random,-1,1
1323,PPO,1,-1
1324,PPO,1,-1
1325,PPO,1,-1
1326,Random,-1,1
1327,PPO,1,-1
1328,Random,-1,1
1329,PPO,1,-1
1330,PPO,1,-1
1331,PPO,1,-1
1332,PPO,1,-1
1333,PPO,1,-1
1334,PPO,1,-1
1335,PPO,1,-1
1336,PPO,1,-1
1337,PPO,1,-1
1338,PPO,1,-1
1339,PPO,1,-1
1340,PPO,1,-1
1341,PPO,1,-1
1342,PPO,1,-1
1343,PPO,1,-1
1344,PPO,1,-1
1345,Random,-1,1
1346,PPO,1,-1
1347,PPO,1,-1
1348,PPO,1,-1
1349,PPO,1,-1
1350,PPO,1,-1
1351,Random,-1,1
1352,PPO,1,-1
1353,PPO,1,-1
1354,PPO,1,-1
1355,PPO,1,-1
1356,PPO,1,-1
1357,PPO,1,-1
1358,Random,-1,1
1359,PPO,1,-1
1360,PPO,1,-1
1361,PPO,1,-1
1362,PPO,1,-1
1363,PPO,1,-1
1364,PPO,1,-1
1365,Random,-1,1
1366,Random,-1,1
1367,PPO,1,-1
1368,PPO,1,-1
1369,PPO,1,-1
1370,Random,-1,1
1371,PPO,1,-1
1372,PPO,1,-1
1373,PPO,1,-1
1374,PPO,1,-1
1375,PPO,1,-1
1376,PPO,1,-1
1377,PPO,1,-1
1378,PPO,1,-1
1379,PPO,1,-1
1380,PPO,1,-1
1381,PPO,1,-1
1382,Random,-1,1
1383,Random,-1,1
1384,PPO,1,-1
1385,PPO,1,-1
1386,PPO,1,-1
1387,PPO,1,-1
1388,PPO,1,-1
1389,PPO,1,-1
1390,Random,-1,1
1391,PPO,1,-1
1392,Random,-1,1
1393,PPO,1,-1
1394,PPO,1,-1
1395,Random,-1,1
1396,PPO,1,-1
1397,PPO,1,-1
1398,PPO,1,-1
1399,PPO,1,-1
1400,PPO,1,-1
1401,PPO,1,-1
1402,PPO,1,-1
1403,Random,-1,1
1404,Random,-1,1
1405,PPO,1,-1
1406,PPO,1,-1
1407,Random,-1,1
1408,PPO,1,-1
1409,PPO,1,-1
1410,PPO,1,-1
1411,Random,-1,1
1412,PPO,1,-1
1413,PPO,1,-1
1414,PPO,1,-1
1415,PPO,1,-1
1416,PPO,1,-1
1417,PPO,1,-1
1418,PPO,1,-1
1419,PPO,1,-1
1420,Random,-1,1
1421,PPO,1,-1
1422,PPO,1,-1
1423,PPO,1,-1
1424,PPO,1,-1
1425,PPO,1,-1
1426,PPO,1,-1
1427,PPO,1,-1
1428,PPO,1,-1
1429,PPO,1,-1
1430,PPO,1,-1
1431,Random,-1,1
1432,PPO,1,-1
1433,PPO,1,-1
1434,PPO,1,-1
1435,PPO,1,-1
1436,PPO,1,-1
1437,PPO,1,-1
1438,PPO,1,-1
1439,PPO,1,-1
1440,PPO,1,-1
1441,PPO,1,-1
1442,PPO,1,-1
1443,PPO,1,-1
1444,Random,-1,1
1445,PPO,1,-1
1446,PPO,1,-1
1447,PPO,1,-1
1448,Random,-1,1
1449,PPO,1,-1
1450,PPO,1,-1
1451,PPO,1,-1
1452,PPO,1,-1
1453,PPO,1,-1
1454,PPO,1,-1
1455,PPO,1,-1
1456,PPO,1,-1
1457,PPO,1,-1
1458,PPO,1,-1
1459,PPO,1,-1
1460,PPO,1,-1
1461,PPO,1,-1
1462,Random,-1,1
1463,PPO,1,-1
1464,PPO,1,-1
1465,PPO,1,-1
1466,PPO,1,-1
1467,PPO,1,-1
1468,PPO,1,-1
1469,PPO,1,-1
1470,PPO,1,-1
1471,Random,-1,1
1472,PPO,1,-1
1473,Random,-1,1
1474,PPO,1,-1
1475,Random,-1,1
1476,Random,-1,1
1477,PPO,1,-1
1478,Random,-1,1
1479,PPO,1,-1
1480,PPO,1,-1
1481,PPO,1,-1
1482,PPO,1,-1
1483,PPO,1,-1
1484,PPO,1,-1
1485,PPO,1,-1
1486,PPO,1,-1
1487,PPO,1,-1
1488,PPO,1,-1
1489,PPO,1,-1
1490,PPO,1,-1
1491,PPO,1,-1
1492,PPO,1,-1
1493,PPO,1,-1
1494,PPO,1,-1
1495,PPO,1,-1
1496,Random,-1,1
1497,PPO,1,-1
1498,PPO,1,-1
1499,PPO,1,-1
1500,PPO,1,-1
1501,PPO,1,-1
1502,PPO,1,-1
1503,PPO,1,-1
1504,PPO,1,-1
1505,PPO,1,-1
1506,PPO,1,-1
1507,Random,-1,1
1508,PPO,1,-1
1509,PPO,1,-1
1510,PPO,1,-1
1511,PPO,1,-1
1512,PPO,1,-1
1513,PPO,1,-1
1514,PPO,1,-1
1515,PPO,1,-1
1516,PPO,1,-1
1517,PPO,1,-1
1518,PPO,1,-1
1519,PPO,1,-1
1520,PPO,1,-1
1521,PPO,1,-1
1522,PPO,1,-1
1523,PPO,1,-1
1524,PPO,1,-1
1525,PPO,1,-1
1526,PPO,1,-1
1527,Random,-1,1
1528,PPO,1,-1
1529,PPO,1,-1
1530,PPO,1,-1
1531,PPO,1,-1
1532,PPO,1,-1
1533,PPO,1,-1
1534,Random,-1,1
1535,PPO,1,-1
1536,PPO,1,-1
1537,PPO,1,-1
1538,PPO,1,-1
1539,PPO,1,-1
1540,PPO,1,-1
1541,PPO,1,-1
1542,Random,-1,1
1543,PPO,1,-1
1544,PPO,1,-1
1545,PPO,1,-1
1546,Random,-1,1
1547,PPO,1,-1
1548,PPO,1,-1
1549,PPO,1,-1
1550,PPO,1,-1
1551,PPO,1,-1
1552,PPO,1,-1
1553,PPO,1,-1
1554,PPO,1,-1
1555,PPO,1,-1
1556,PPO,1,-1
1557,Random,-1,1
1558,PPO,1,-1
1559,PPO,1,-1
1560,PPO,1,-1
1561,PPO,1,-1
1562,PPO,1,-1
1563,PPO,1,-1
1564,Random,-1,1
1565,PPO,1,-1
1566,PPO,1,-1
1567,Random,-1,1
1568,PPO,1,-1
1569,Random,-1,1
1570,Random,-1,1
1571,PPO,1,-1
1572,PPO,1,-1
1573,PPO,1,-1
1574,PPO,1,-1
1575,PPO,1,-1
1576,Random,-1,1
1577,PPO,1,-1
1578,PPO,1,-1
1579,PPO,1,-1
1580,PPO,1,-1
1581,PPO,1,-1
1582,PPO,1,-1
1583,Random,-1,1
1584,PPO,1,-1
1585,Random,-1,1
1586,PPO,1,-1
1587,Random,-1,1
1588,PPO,1,-1
1589,PPO,1,-1
1590,PPO,1,-1
1591,PPO,1,-1
1592,PPO,1,-1
1593,Random,-1,1
1594,Random,-1,1
1595,PPO,1,-1
1596,PPO,1,-1
1597,PPO,1,-1
1598,PPO,1,-1
1599,PPO,1,-1
1600,PPO,1,-1
1601,PPO,1,-1
1602,Random,-1,1
1603,PPO,1,-1
1604,PPO,1,-1
1605,PPO,1,-1
1606,Random,-1,1
1607,PPO,1,-1
1608,PPO,1,-1
1609,PPO,1,-1
1610,PPO,1,-1
1611,Random,-1,1
1612,Random,-1,1
1613,PPO,1,-1
1614,PPO,1,-1
1615,PPO,1,-1
1616,PPO,1,-1
1617,PPO,1,-1
1618,Random,-1,1
1619,PPO,1,-1
1620,PPO,1,-1
1621,Random,-1,1
1622,PPO,1,-1
1623,PPO,1,-1
1624,PPO,1,-1
1625,PPO,1,-1
1626,PPO,1,-1
1627,Random,-1,1
1628,PPO,1,-1
1629,PPO,1,-1
1630,PPO,1,-1
1631,PPO,1,-1
1632,Random,-1,1
1633,Random,-1,1
1634,PPO,1,-1
1635,PPO,1,-1
1636,PPO,1,-1
1637,PPO,1,-1
1638,PPO,1,-1
1639,PPO,1,-1
1640,Random,-1,1
1641,PPO,1,-1
1642,PPO,1,-1
1643,PPO,1,-1
1644,PPO,1,-1
1645,PPO,1,-1
1646,PPO,1,-1
1647,PPO,1,-1
1648,PPO,1,-1
1649,PPO,1,-1
1650,PPO,1,-1
1651,PPO,1,-1
1652,PPO,1,-1
1653,PPO,1,-1
1654,PPO,1,-1
1655,PPO,1,-1
1656,PPO,1,-1
1657,PPO,1,-1
1658,PPO,1,-1
1659,PPO,1,-1
1660,Random,-1,1
1661,PPO,1,-1
1662,PPO,1,-1
1663,Random,-1,1
1664,Random,-1,1
1665,PPO,1,-1
1666,PPO,1,-1
1667,PPO,1,-1
1668,PPO,1,-1
1669,PPO,1,-1
1670,PPO,1,-1
1671,PPO,1,-1
1672,PPO,1,-1
1673,PPO,1,-1
1674,PPO,1,-1
1675,Random,-1,1
1676,Random,-1,1
1677,PPO,1,-1
1678,Random,-1,1
1679,Random,-1,1
1680,PPO,1,-1
1681,PPO,1,-1
1682,PPO,1,-1
1683,PPO,1,-1
1684,PPO,1,-1
1685,PPO,1,-1
1686,PPO,1,-1
1687,PPO,1,-1
1688,Random,-1,1
1689,draw,0,0
1690,Random,-1,1
1691,PPO,1,-1
1692,PPO,1,-1
1693,Random,-1,1
1694,PPO,1,-1
1695,PPO,1,-1
1696,PPO,1,-1
1697,PPO,1,-1
1698,PPO,1,-1
1699,PPO,1,-1
1700,PPO,1,-1
1701,PPO,1,-1
1702,PPO,1,-1
1703,PPO,1,-1
1704,PPO,1,-1
1705,Random,-1,1
1706,PPO,1,-1
1707,PPO,1,-1
1708,PPO,1,-1
1709,PPO,1,-1
1710,PPO,1,-1
1711,PPO,1,-1
1712,PPO,1,-1
1713,PPO,1,-1
1714,Random,-1,1
1715,PPO,1,-1
1716,PPO,1,-1
1717,PPO,1,-1
1718,PPO,1,-1
1719,PPO,1,-1
1720,Random,-1,1
1721,PPO,1,-1
1722,PPO,1,-1
1723,PPO,1,-1
1724,PPO,1,-1
1725,PPO,1,-1
1726,PPO,1,-1
1727,Random,-1,1
1728,PPO,1,-1
1729,Random,-1,1
1730,PPO,1,-1
1731,PPO,1,-1
1732,Random,-1,1
1733,PPO,1,-1
1734,PPO,1,-1
1735,PPO,1,-1
1736,PPO,1,-1
1737,PPO,1,-1
1738,PPO,1,-1
1739,PPO,1,-1
1740,Random,-1,1
1741,PPO,1,-1
1742,PPO,1,-1
1743,PPO,1,-1
1744,Random,-1,1
1745,PPO,1,-1
1746,PPO,1,-1
1747,PPO,1,-1
1748,PPO,1,-1
1749,Random,-1,1
1750,Random,-1,1
1751,PPO,1,-1
1752,PPO,1,-1
1753,PPO,1,-1
1754,Random,-1,1
1755,PPO,1,-1
1756,PPO,1,-1
1757,Random,-1,1
1758,PPO,1,-1
1759,PPO,1,-1
1760,PPO,1,-1
1761,PPO,1,-1
1762,PPO,1,-1
1763,PPO,1,-1
1764,PPO,1,-1
1765,PPO,1,-1
1766,PPO,1,-1
1767,Random,-1,1
1768,PPO,1,-1
1769,PPO,1,-1
1770,PPO,1,-1
1771,PPO,1,-1
1772,PPO,1,-1
1773,PPO,1,-1
1774,PPO,1,-1
1775,PPO,1,-1
1776,PPO,1,-1
1777,PPO,1,-1
1778,PPO,1,-1
1779,Random,-1,1
1780,PPO,1,-1
1781,PPO,1,-1
1782,PPO,1,-1
1783,PPO,1,-1
1784,PPO,1,-1
1785,PPO,1,-1
1786,PPO,1,-1
1787,Random,-1,1
1788,PPO,1,-1
1789,PPO,1,-1
1790,Random,-1,1
1791,PPO,1,-1
1792,PPO,1,-1
1793,PPO,1,-1
1794,PPO,1,-1
1795,PPO,1,-1
1796,PPO,1,-1
1797,PPO,1,-1
1798,Random,-1,1
1799,PPO,1,-1
1800,PPO,1,-1
1801,PPO,1,-1
1802,PPO,1,-1
1803,PPO,1,-1
1804,PPO,1,-1
1805,Random,-1,1
1806,PPO,1,-1
1807,Random,-1,1
1808,PPO,1,-1
1809,Random,-1,1
1810,PPO,1,-1
1811,PPO,1,-1
1812,PPO,1,-1
1813,Random,-1,1
1814,Random,-1,1
1815,PPO,1,-1
1816,PPO,1,-1
1817,PPO,1,-1
1818,PPO,1,-1
1819,PPO,1,-1
1820,PPO,1,-1
1821,PPO,1,-1
1822,PPO,1,-1
1823,PPO,1,-1
1824,PPO,1,-1
1825,PPO,1,-1
1826,PPO,1,-1
1827,Random,-1,1
1828,PPO,1,-1
1829,Random,-1,1
1830,PPO,1,-1
1831,PPO,1,-1
1832,Random,-1,1
1833,PPO,1,-1
1834,PPO,1,-1
1835,PPO,1,-1
1836,PPO,1,-1
1837,PPO,1,-1
1838,PPO,1,-1
1839,PPO,1,-1
1840,PPO,1,-1
1841,Random,-1,1
1842,PPO,1,-1
1843,PPO,1,-1
1844,PPO,1,-1
1845,PPO,1,-1
1846,PPO,1,-1
1847,PPO,1,-1
1848,Random,-1,1
1849,PPO,1,-1
1850,PPO,1,-1
1851,PPO,1,-1
1852,PPO,1,-1
1853,Random,-1,1
1854,PPO,1,-1
1855,PPO,1,-1
1856,PPO,1,-1
1857,PPO,1,-1
1858,PPO,1,-1
1859,PPO,1,-1
1860,Random,-1,1
1861,PPO,1,-1
1862,Random,-1,1
1863,PPO,1,-1
1864,PPO,1,-1
1865,PPO,1,-1
1866,Random,-1,1
1867,PPO,1,-1
1868,PPO,1,-1
1869,PPO,1,-1
1870,PPO,1,-1
1871,PPO,1,-1
1872,PPO,1,-1
1873,PPO,1,-1
1874,Random,-1,1
1875,PPO,1,-1
1876,PPO,1,-1
1877,PPO,1,-1
1878,PPO,1,-1
1879,PPO,1,-1
1880,PPO,1,-1
1881,Random,-1,1
1882,PPO,1,-1
1883,Random,-1,1
1884,PPO,1,-1
1885,PPO,1,-1
1886,PPO,1,-1
1887,Random,-1,1
1888,PPO,1,-1
1889,PPO,1,-1
1890,PPO,1,-1
1891,PPO,1,-1
1892,PPO,1,-1
1893,PPO,1,-1
1894,PPO,1,-1
1895,PPO,1,-1
1896,PPO,1,-1
1897,PPO,1,-1
1898,PPO,1,-1
1899,PPO,1,-1
1900,PPO,1,-1
1901,PPO,1,-1
1902,PPO,1,-1
1903,PPO,1,-1
1904,PPO,1,-1
1905,PPO,1,-1
1906,PPO,1,-1
1907,Random,-1,1
1908,PPO,1,-1
1909,PPO,1,-1
1910,PPO,1,-1
1911,Random,-1,1
1912,PPO,1,-1
1913,PPO,1,-1
1914,Random,-1,1
1915,PPO,1,-1
1916,PPO,1,-1
1917,PPO,1,-1
1918,PPO,1,-1
1919,Random,-1,1
1920,PPO,1,-1
1921,PPO,1,-1
1922,Random,-1,1
1923,PPO,1,-1
1924,PPO,1,-1
1925,PPO,1,-1
1926,PPO,1,-1
1927,PPO,1,-1
1928,Random,-1,1
1929,PPO,1,-1
1930,PPO,1,-1
1931,PPO,1,-1
1932,PPO,1,-1
1933,Random,-1,1
1934,Random,-1,1
1935,PPO,1,-1
1936,PPO,1,-1
1937,PPO,1,-1
1938,Random,-1,1
1939,Random,-1,1
1940,Random,-1,1
1941,PPO,1,-1
1942,Random,-1,1
1943,PPO,1,-1
1944,Random,-1,1
1945,PPO,1,-1
1946,Random,-1,1
1947,PPO,1,-1
1948,PPO,1,-1
1949,PPO,1,-1
1950,PPO,1,-1
1951,PPO,1,-1
1952,PPO,1,-1
1953,PPO,1,-1
1954,PPO,1,-1
1955,PPO,1,-1
1956,PPO,1,-1
1957,PPO,1,-1
1958,Random,-1,1
1959,PPO,1,-1
1960,Random,-1,1
1961,PPO,1,-1
1962,PPO,1,-1
1963,PPO,1,-1
1964,PPO,1,-1
1965,PPO,1,-1
1966,Random,-1,1
1967,PPO,1,-1
1968,PPO,1,-1
1969,PPO,1,-1
1970,PPO,1,-1
1971,PPO,1,-1
1972,PPO,1,-1
1973,Random,-1,1
1974,PPO,1,-1
1975,PPO,1,-1
1976,PPO,1,-1
1977,Random,-1,1
1978,PPO,1,-1
1979,PPO,1,-1
1980,PPO,1,-1
1981,PPO,1,-1
1982,PPO,1,-1
1983,Random,-1,1
1984,PPO,1,-1
1985,PPO,1,-1
1986,PPO,1,-1
1987,PPO,1,-1
1988,PPO,1,-1
1989,PPO,1,-1
1990,Random,-1,1
1991,PPO,1,-1
1992,PPO,1,-1
1993,PPO,1,-1
1994,PPO,1,-1
1995,PPO,1,-1
1996,PPO,1,-1
1997,PPO,1,-1
1998,PPO,1,-1
1999,PPO,1,-1
2000,PPO,1,-1
2001,PPO,1,-1
2002,PPO,1,-1
2003,PPO,1,-1
2004,PPO,1,-1
2005,PPO,1,-1
2006,PPO,1,-1
2007,PPO,1,-1
2008,Random,-1,1
2009,PPO,1,-1
2010,PPO,1,-1
2011,PPO,1,-1
2012,Random,-1,1
2013,PPO,1,-1
2014,PPO,1,-1
2015,PPO,1,-1
2016,PPO,1,-1
2017,PPO,1,-1
2018,PPO,1,-1
2019,PPO,1,-1
2020,Random,-1,1
2021,PPO,1,-1
2022,PPO,1,-1
2023,Random,-1,1
2024,PPO,1,-1
2025,PPO,1,-1
2026,PPO,1,-1
2027,Random,-1,1
2028,PPO,1,-1
2029,PPO,1,-1
2030,PPO,1,-1
2031,PPO,1,-1
2032,PPO,1,-1
2033,PPO,1,-1
2034,PPO,1,-1
2035,PPO,1,-1
2036,Random,-1,1
2037,PPO,1,-1
2038,PPO,1,-1
2039,PPO,1,-1
2040,Random,-1,1
2041,PPO,1,-1
2042,PPO,1,-1
2043,PPO,1,-1
2044,PPO,1,-1
2045,PPO,1,-1
2046,PPO,1,-1
2047,PPO,1,-1
2048,PPO,1,-1
2049,PPO,1,-1
2050,PPO,1,-1
2051,PPO,1,-1
2052,PPO,1,-1
2053,PPO,1,-1
2054,PPO,1,-1
2055,PPO,1,-1
2056,PPO,1,-1
2057,PPO,1,-1
2058,PPO,1,-1
2059,PPO,1,-1
2060,Random,-1,1
2061,PPO,1,-1
2062,PPO,1,-1
2063,PPO,1,-1
2064,PPO,1,-1
2065,Random,-1,1
2066,PPO,1,-1
2067,Random,-1,1
2068,PPO,1,-1
2069,PPO,1,-1
2070,PPO,1,-1
2071,PPO,1,-1
2072,PPO,1,-1
2073,Random,-1,1
2074,PPO,1,-1
2075,PPO,1,-1
2076,Random,-1,1
2077,PPO,1,-1
2078,PPO,1,-1
2079,PPO,1,-1
2080,PPO,1,-1
2081,Random,-1,1
2082,Random,-1,1
2083,PPO,1,-1
2084,PPO,1,-1
2085,Random,-1,1
2086,PPO,1,-1
2087,PPO,1,-1
2088,PPO,1,-1
2089,Random,-1,1
2090,PPO,1,-1
2091,PPO,1,-1
2092,PPO,1,-1
2093,PPO,1,-1
2094,PPO,1,-1
2095,PPO,1,-1
2096,Random,-1,1
2097,PPO,1,-1
2098,PPO,1,-1
2099,PPO,1,-1
2100,PPO,1,-1
2101,PPO,1,-1
2102,Random,-1,1
2103,PPO,1,-1
2104,PPO,1,-1
2105,PPO,1,-1
2106,PPO,1,-1
2107,PPO,1,-1
2108,Random,-1,1
2109,PPO,1,-1
2110,PPO,1,-1
2111,PPO,1,-1
2112,PPO,1,-1
2113,PPO,1,-1
2114,PPO,1,-1
2115,PPO,1,-1
2116,PPO,1,-1
2117,PPO,1,-1
2118,PPO,1,-1
2119,PPO,1,-1
2120,PPO,1,-1
2121,Random,-1,1
2122,PPO,1,-1
2123,PPO,1,-1
2124,PPO,1,-1
2125,PPO,1,-1
2126,PPO,1,-1
2127,PPO,1,-1
2128,PPO,1,-1
2129,PPO,1,-1
2130,PPO,1,-1
2131,PPO,1,-1
2132,PPO,1,-1
2133,Random,-1,1
2134,PPO,1,-1
2135,PPO,1,-1
2136,PPO,1,-1
2137,PPO,1,-1
2138,Random,-1,1
2139,PPO,1,-1
2140,PPO,1,-1
2141,Random,-1,1
2142,PPO,1,-1
2143,PPO,1,-1
2144,PPO,1,-1
2145,PPO,1,-1
2146,PPO,1,-1
2147,PPO,1,-1
2148,PPO,1,-1
2149,PPO,1,-1
2150,Random,-1,1
2151,PPO,1,-1
2152,PPO,1,-1
2153,PPO,1,-1
2154,PPO,1,-1
2155,PPO,1,-1
2156,PPO,1,-1
2157,PPO,1,-1
2158,PPO,1,-1
2159,Random,-1,1
2160,Random,-1,1
2161,PPO,1,-1
2162,PPO,1,-1
2163,Random,-1,1
2164,PPO,1,-1
2165,PPO,1,-1
2166,PPO,1,-1
2167,PPO,1,-1
2168,PPO,1,-1
2169,PPO,1,-1
2170,PPO,1,-1
2171,Random,-1,1
2172,Random,-1,1
2173,PPO,1,-1
2174,PPO,1,-1
2175,PPO,1,-1
2176,PPO,1,-1
2177,PPO,1,-1
2178,PPO,1,-1
2179,PPO,1,-1
2180,PPO,1,-1
2181,PPO,1,-1
2182,PPO,1,-1
2183,PPO,1,-1
2184,PPO,1,-1
2185,PPO,1,-1
2186,PPO,1,-1
2187,PPO,1,-1
2188,Random,-1,1
2189,Random,-1,1
2190,PPO,1,-1
2191,PPO,1,-1
2192,PPO,1,-1
2193,PPO,1,-1
2194,PPO,1,-1
2195,PPO,1,-1
2196,PPO,1,-1
2197,PPO,1,-1
2198,PPO,1,-1
2199,PPO,1,-1
2200,PPO,1,-1
2201,PPO,1,-1
2202,PPO,1,-1
2203,PPO,1,-1
2204,PPO,1,-1
2205,Random,-1,1
2206,Random,-1,1
2207,Random,-1,1
2208,PPO,1,-1
2209,PPO,1,-1
2210,PPO,1,-1
2211,PPO,1,-1
2212,PPO,1,-1
2213,PPO,1,-1
2214,PPO,1,-1
2215,PPO,1,-1
2216,PPO,1,-1
2217,PPO,1,-1
2218,PPO,1,-1
2219,PPO,1,-1
2220,PPO,1,-1
2221,Random,-1,1
2222,Random,-1,1
2223,Random,-1,1
2224,PPO,1,-1
2225,PPO,1,-1
2226,PPO,1,-1
2227,PPO,1,-1
2228,PPO,1,-1
2229,Random,-1,1
2230,PPO,1,-1
2231,PPO,1,-1
2232,PPO,1,-1
2233,Random,-1,1
2234,PPO,1,-1
2235,Random,-1,1
2236,PPO,1,-1
2237,PPO,1,-1
2238,Random,-1,1
2239,PPO,1,-1
2240,Random,-1,1
2241,PPO,1,-1
2242,Random,-1,1
2243,PPO,1,-1
2244,PPO,1,-1
2245,PPO,1,-1
2246,PPO,1,-1
2247,draw,0,0
2248,PPO,1,-1
2249,PPO,1,-1
2250,PPO,1,-1
2251,PPO,1,-1
2252,PPO,1,-1
2253,PPO,1,-1
2254,Random,-1,1
2255,PPO,1,-1
2256,PPO,1,-1
2257,PPO,1,-1
2258,PPO,1,-1
2259,PPO,1,-1
2260,PPO,1,-1
2261,Random,-1,1
2262,PPO,1,-1
2263,PPO,1,-1
2264,PPO,1,-1
2265,PPO,1,-1
2266,PPO,1,-1
2267,PPO,1,-1
2268,PPO,1,-1
2269,Random,-1,1
2270,Random,-1,1
2271,PPO,1,-1
2272,PPO,1,-1
2273,PPO,1,-1
2274,Random,-1,1
2275,PPO,1,-1
2276,PPO,1,-1
2277,PPO,1,-1
2278,Random,-1,1
2279,PPO,1,-1
2280,PPO,1,-1
2281,Random,-1,1
2282,PPO,1,-1
2283,PPO,1,-1
2284,Random,-1,1
2285,PPO,1,-1
2286,PPO,1,-1
2287,PPO,1,-1
2288,PPO,1,-1
2289,PPO,1,-1
2290,PPO,1,-1
2291,PPO,1,-1
2292,PPO,1,-1
2293,PPO,1,-1
2294,PPO,1,-1
2295,Random,-1,1
2296,PPO,1,-1
2297,Random,-1,1
2298,PPO,1,-1
2299,PPO,1,-1
2300,PPO,1,-1
2301,PPO,1,-1
2302,PPO,1,-1
2303,PPO,1,-1
2304,PPO,1,-1
2305,PPO,1,-1
2306,PPO,1,-1
2307,PPO,1,-1
2308,PPO,1,-1
2309,PPO,1,-1
2310,PPO,1,-1
2311,PPO,1,-1
2312,PPO,1,-1
2313,PPO,1,-1
2314,Random,-1,1
2315,PPO,1,-1
2316,Random,-1,1
2317,Random,-1,1
2318,Random,-1,1
2319,Random,-1,1
2320,PPO,1,-1
2321,PPO,1,-1
2322,PPO,1,-1
2323,PPO,1,-1
2324,PPO,1,-1
2325,PPO,1,-1
2326,PPO,1,-1
2327,Random,-1,1
2328,Random,-1,1
2329,Random,-1,1
2330,PPO,1,-1
2331,Random,-1,1
2332,PPO,1,-1
2333,Random,-1,1
2334,PPO,1,-1
2335,PPO,1,-1
2336,PPO,1,-1
2337,PPO,1,-1
2338,PPO,1,-1
2339,PPO,1,-1
2340,PPO,1,-1
2341,PPO,1,-1
2342,PPO,1,-1
2343,Random,-1,1
2344,Random,-1,1
2345,PPO,1,-1
2346,PPO,1,-1
2347,PPO,1,-1
2348,Random,-1,1
2349,PPO,1,-1
2350,PPO,1,-1
2351,PPO,1,-1
2352,PPO,1,-1
2353,PPO,1,-1
2354,PPO,1,-1
2355,PPO,1,-1
2356,Random,-1,1
2357,Random,-1,1
2358,PPO,1,-1
2359,PPO,1,-1
2360,PPO,1,-1
2361,PPO,1,-1
2362,PPO,1,-1
2363,PPO,1,-1
2364,PPO,1,-1
2365,PPO,1,-1
2366,PPO,1,-1
2367,PPO,1,-1
2368,PPO,1,-1
2369,PPO,1,-1
2370,PPO,1,-1
2371,PPO,1,-1
2372,PPO,1,-1
2373,PPO,1,-1
2374,PPO,1,-1
2375,PPO,1,-1
2376,PPO,1,-1
2377,PPO,1,-1
2378,PPO,1,-1
2379,PPO,1,-1
2380,PPO,1,-1
2381,PPO,1,-1
2382,PPO,1,-1
2383,PPO,1,-1
2384,PPO,1,-1
2385,PPO,1,-1
2386,Random,-1,1
2387,PPO,1,-1
2388,PPO,1,-1
2389,PPO,1,-1
2390,PPO,1,-1
2391,Random,-1,1
2392,PPO,1,-1
2393,Random,-1,1
2394,PPO,1,-1
2395,PPO,1,-1
2396,Random,-1,1
2397,PPO,1,-1
2398,PPO,1,-1
2399,PPO,1,-1
2400,PPO,1,-1
2401,PPO,1,-1
2402,PPO,1,-1
2403,PPO,1,-1
2404,PPO,1,-1
2405,PPO,1,-1
2406,PPO,1,-1
2407,PPO,1,-1
2408,PPO,1,-1
2409,PPO,1,-1
2410,PPO,1,-1
2411,Random,-1,1
2412,PPO,1,-1
2413,PPO,1,-1
2414,PPO,1,-1
2415,Random,-1,1
2416,PPO,1,-1
2417,PPO,1,-1
2418,PPO,1,-1
2419,PPO,1,-1
2420,PPO,1,-1
2421,PPO,1,-1
2422,PPO,1,-1
2423,PPO,1,-1
2424,PPO,1,-1
2425,Random,-1,1
2426,PPO,1,-1
2427,Random,-1,1
2428,PPO,1,-1
2429,PPO,1,-1
2430,PPO,1,-1
2431,PPO,1,-1
2432,Random,-1,1
2433,PPO,1,-1
2434,Random,-1,1
2435,PPO,1,-1
2436,PPO,1,-1
2437,PPO,1,-1
2438,PPO,1,-1
2439,PPO,1,-1
2440,PPO,1,-1
2441,PPO,1,-1
2442,PPO,1,-1
2443,PPO,1,-1
2444,PPO,1,-1
2445,PPO,1,-1
2446,Random,-1,1
2447,Random,-1,1
2448,PPO,1,-1
2449,PPO,1,-1
2450,Random,-1,1
2451,PPO,1,-1
2452,PPO,1,-1
2453,PPO,1,-1
