episode,winner,PPO,Random
300,PPO,1,-1
301,PPO,1,-1
302,PPO,1,-1
303,PPO,1,-1
304,PPO,1,-1
305,PPO,1,-1
306,PPO,1,-1
307,Random,-1,1
308,PPO,1,-1
309,PPO,1,-1
310,PPO,1,-1
311,PPO,1,-1
312,PPO,1,-1
313,PPO,1,-1
314,Random,-1,1
315,PPO,1,-1
316,PPO,1,-1
317,PPO,1,-1
318,PPO,1,-1
319,PPO,1,-1
320,Random,-1,1
321,PPO,1,-1
322,PPO,1,-1
323,PPO,1,-1
324,PPO,1,-1
325,PPO,1,-1
326,PPO,1,-1
327,Random,-1,1
328,PPO,1,-1
329,PPO,1,-1
330,PPO,1,-1
331,PPO,1,-1
332,PPO,1,-1
333,PPO,1,-1
334,PPO,1,-1
335,PPO,1,-1
336,Random,-1,1
337,PPO,1,-1
338,Random,-1,1
339,PPO,1,-1
340,PPO,1,-1
341,Random,-1,1
342,PPO,1,-1
343,PPO,1,-1
344,PPO,1,-1
345,PPO,1,-1
346,PPO,1,-1
347,PPO,1,-1
348,PPO,1,-1
349,PPO,1,-1
350,Random,-1,1
351,PPO,1,-1
352,PPO,1,-1
353,PPO,1,-1
354,PPO,1,-1
355,Random,-1,1
356,PPO,1,-1
357,Random,-1,1
358,PPO,1,-1
359,PPO,1,-1
360,PPO,1,-1
361,PPO,1,-1
362,PPO,1,-1
363,PPO,1,-1
364,PPO,1,-1
365,PPO,1,-1
366,PPO,1,-1
367,Random,-1,1
368,PPO,1,-1
369,PPO,1,-1
370,PPO,1,-1
371,PPO,1,-1
372,Random,-1,1
373,PPO,1,-1
374,PPO,1,-1
375,PPO,1,-1
376,PPO,1,-1
377,PPO,1,-1
378,PPO,1,-1
379,PPO,1,-1
380,PPO,1,-1
381,PPO,1,-1
382,PPO,1,-1
383,Random,-1,1
384,PPO,1,-1
385,PPO,1,-1
386,PPO,1,-1
387,PPO,1,-1
388,PPO,1,-1
389,PPO,1,-1
390,PPO,1,-1
391,PPO,1,-1
392,PPO,1,-1
393,PPO,1,-1
394,Random,-1,1
395,PPO,1,-1
396,Random,-1,1
397,PPO,1,-1
398,Random,-1,1
399,Random,-1,1
400,PPO,1,-1
401,PPO,1,-1
402,PPO,1,-1
403,PPO,1,-1
404,Random,-1,1
405,PPO,1,-1
406,PPO,1,-1
407,PPO,1,-1
408,PPO,1,-1
409,PPO,1,-1
410,PPO,1,-1
411,PPO,1,-1
412,PPO,1,-1
413,PPO,1,-1
414,PPO,1,-1
415,PPO,1,-1
416,PPO,1,-1
417,Random,-1,1
418,PPO,1,-1
419,Random,-1,1
420,Random,-1,1
421,Random,-1,1
422,PPO,1,-1
423,PPO,1,-1
424,draw,0,0
425,PPO,1,-1
426,PPO,1,-1
427,PPO,1,-1
428,Random,-1,1
429,PPO,1,-1
430,PPO,1,-1
431,Random,-1,1
432,PPO,1,-1
433,PPO,1,-1
434,PPO,1,-1
435,PPO,1,-1
436,PPO,1,-1
437,PPO,1,-1
438,PPO,1,-1
439,PPO,1,-1
440,PPO,1,-1
441,PPO,1,-1
442,Random,-1,1
443,Random,-1,1
444,PPO,1,-1
445,PPO,1,-1
446,Random,-1,1
447,Random,-1,1
448,Random,-1,1
449,PPO,1,-1
450,PPO,1,-1
451,Random,-1,1
452,Random,-1,1
453,PPO,1,-1
454,Random,-1,1
455,PPO,1,-1
456,PPO,1,-1
457,PPO,1,-1
458,PPO,1,-1
459,Random,-1,1
460,Random,-1,1
461,PPO,1,-1
462,PPO,1,-1
463,PPO,1,-1
464,PPO,1,-1
465,PPO,1,-1
466,PPO,1,-1
467,Random,-1,1
468,PPO,1,-1
469,Random,-1,1
470,PPO,1,-1
471,Random,-1,1
472,PPO,1,-1
473,Random,-1,1
474,PPO,1,-1
475,PPO,1,-1
476,PPO,1,-1
477,PPO,1,-1
478,Random,-1,1
479,PPO,1,-1
480,Random,-1,1
481,PPO,1,-1
482,PPO,1,-1
483,Random,-1,1
