episode,winner,PPO,PPO_2
267,PPO,1,-1
268,PPO,1,-1
269,PPO,1,-1
270,PPO_2,-1,1
271,PPO_2,-1,1
272,PPO,1,-1
273,PPO,1,-1
274,PPO_2,-1,1
275,PPO,1,-1
276,PPO_2,-1,1
277,PPO,1,-1
278,PPO,1,-1
279,PPO_2,-1,1
280,PPO,1,-1
281,PPO_2,-1,1
282,PPO_2,-1,1
283,PPO,1,-1
284,PPO,1,-1
285,PPO_2,-1,1
286,PPO_2,-1,1
287,PPO_2,-1,1
288,PPO,1,-1
289,PPO,1,-1
290,PPO,1,-1
291,PPO_2,-1,1
292,PPO_2,-1,1
293,PPO_2,-1,1
294,PPO,1,-1
295,PPO,1,-1
296,PPO_2,-1,1
297,PPO,1,-1
298,PPO,1,-1
299,PPO_2,-1,1
300,PPO,1,-1
301,PPO_2,-1,1
302,PPO,1,-1
303,PPO_2,-1,1
304,PPO,1,-1
305,PPO,1,-1
306,PPO,1,-1
307,PPO_2,-1,1
308,PPO,1,-1
309,PPO,1,-1
310,PPO,1,-1
311,PPO,1,-1
312,PPO,1,-1
313,PPO,1,-1
314,PPO_2,-1,1
315,PPO,1,-1
316,PPO,1,-1
317,PPO_2,-1,1
318,PPO_2,-1,1
319,PPO_2,-1,1
320,PPO_2,-1,1
321,PPO_2,-1,1
322,PPO_2,-1,1
323,PPO,1,-1
324,PPO_2,-1,1
325,PPO,1,-1
326,PPO,1,-1
327,PPO_2,-1,1
328,PPO,1,-1
329,PPO_2,-1,1
330,PPO_2,-1,1
331,PPO_2,-1,1
332,PPO,1,-1
333,PPO,1,-1
334,PPO,1,-1
335,PPO_2,-1,1
336,PPO,1,-1
337,PPO,1,-1
338,PPO_2,-1,1
339,PPO_2,-1,1
340,PPO_2,-1,1
341,PPO,1,-1
342,PPO_2,-1,1
343,PPO,1,-1
344,PPO,1,-1
345,PPO_2,-1,1
346,PPO,1,-1
347,PPO,1,-1
348,PPO_2,-1,1
349,PPO_2,-1,1
350,PPO_2,-1,1
351,PPO_2,-1,1
352,PPO,1,-1
353,PPO,1,-1
354,PPO,1,-1
355,PPO_2,-1,1
356,PPO_2,-1,1
357,PPO,1,-1
358,PPO_2,-1,1
359,PPO_2,-1,1
360,PPO_2,-1,1
361,PPO,1,-1
362,PPO,1,-1
363,PPO_2,-1,1
364,PPO_2,-1,1
365,PPO,1,-1
366,PPO_2,-1,1
367,PPO,1,-1
368,PPO,1,-1
369,PPO_2,-1,1
370,PPO_2,-1,1
371,PPO,1,-1
372,PPO,1,-1
373,PPO_2,-1,1
374,PPO_2,-1,1
375,PPO_2,-1,1
376,PPO_2,-1,1
377,PPO,1,-1
378,PPO_2,-1,1
379,PPO_2,-1,1
380,PPO_2,-1,1
381,PPO_2,-1,1
382,PPO,1,-1
383,PPO,1,-1
384,PPO_2,-1,1
385,PPO_2,-1,1
386,PPO,1,-1
387,PPO,1,-1
388,PPO,1,-1
389,PPO_2,-1,1
390,PPO_2,-1,1
391,PPO,1,-1
392,PPO,1,-1
393,PPO_2,-1,1
394,PPO_2,-1,1
395,PPO,1,-1
396,PPO_2,-1,1
397,PPO,1,-1
398,PPO,1,-1
399,PPO_2,-1,1
400,PPO_2,-1,1
401,PPO_2,-1,1
402,PPO_2,-1,1
403,PPO_2,-1,1
404,PPO_2,-1,1
405,PPO_2,-1,1
406,PPO_2,-1,1
407,PPO_2,-1,1
408,PPO,1,-1
409,PPO,1,-1
410,PPO,1,-1
411,PPO,1,-1
412,PPO_2,-1,1
413,PPO,1,-1
414,PPO_2,-1,1
415,PPO,1,-1
416,PPO,1,-1
417,PPO,1,-1
418,PPO,1,-1
419,PPO_2,-1,1
420,PPO_2,-1,1
421,PPO_2,-1,1
422,PPO_2,-1,1
423,PPO_2,-1,1
424,PPO,1,-1
425,PPO_2,-1,1
426,PPO_2,-1,1
427,PPO_2,-1,1
428,PPO,1,-1
429,PPO,1,-1
430,PPO_2,-1,1
431,PPO_2,-1,1
432,PPO_2,-1,1
433,PPO_2,-1,1
434,PPO_2,-1,1
435,PPO,1,-1
436,PPO_2,-1,1
437,PPO_2,-1,1
438,PPO_2,-1,1
439,PPO_2,-1,1
440,PPO,1,-1
441,PPO_2,-1,1
442,PPO,1,-1
443,PPO_2,-1,1
444,PPO_2,-1,1
445,PPO_2,-1,1
446,PPO,1,-1
447,PPO,1,-1
448,PPO_2,-1,1
449,PPO_2,-1,1
450,PPO_2,-1,1
451,PPO,1,-1
452,PPO_2,-1,1
453,PPO_2,-1,1
454,PPO_2,-1,1
455,PPO_2,-1,1
456,PPO,1,-1
457,PPO,1,-1
458,PPO_2,-1,1
459,PPO_2,-1,1
460,PPO,1,-1
461,PPO_2,-1,1
462,PPO_2,-1,1
463,PPO,1,-1
464,PPO_2,-1,1
465,PPO_2,-1,1
466,PPO_2,-1,1
467,PPO,1,-1
468,PPO_2,-1,1
469,PPO_2,-1,1
470,PPO_2,-1,1
471,PPO_2,-1,1
472,PPO_2,-1,1
473,PPO_2,-1,1
474,PPO_2,-1,1
475,PPO_2,-1,1
476,PPO_2,-1,1
477,PPO_2,-1,1
478,PPO,1,-1
479,PPO_2,-1,1
480,PPO_2,-1,1
481,PPO,1,-1
482,PPO_2,-1,1
483,PPO,1,-1
484,PPO_2,-1,1
485,PPO_2,-1,1
486,PPO_2,-1,1
487,PPO_2,-1,1
488,PPO,1,-1
489,PPO,1,-1
