episode,winner,DQN,DQN_2
446,draw,0,0
447,draw,0,0
448,DQN_2,-1,1
449,draw,0,0
450,draw,0,0
451,draw,0,0
452,DQN_2,-1,1
453,DQN_2,-1,1
454,draw,0,0
455,draw,0,0
456,draw,0,0
457,DQN_2,-1,1
458,draw,0,0
459,draw,0,0
460,draw,0,0
461,draw,0,0
462,draw,0,0
463,draw,0,0
464,draw,0,0
465,draw,0,0
466,draw,0,0
467,draw,0,0
468,draw,0,0
469,draw,0,0
470,DQN,1,-1
471,DQN,1,-1
472,DQN,1,-1
473,DQN,1,-1
474,draw,0,0
475,DQN_2,-1,1
476,draw,0,0
477,draw,0,0
478,DQN_2,-1,1
479,draw,0,0
480,DQN_2,-1,1
481,draw,0,0
482,draw,0,0
483,DQN_2,-1,1
484,draw,0,0
485,draw,0,0
486,DQN_2,-1,1
487,draw,0,0
488,draw,0,0
489,draw,0,0
490,draw,0,0
491,draw,0,0
492,DQN,1,-1
493,DQN_2,-1,1
494,draw,0,0
495,draw,0,0
496,draw,0,0
497,draw,0,0
498,DQN,1,-1
499,draw,0,0
500,draw,0,0
501,DQN,1,-1
502,draw,0,0
503,DQN_2,-1,1
504,draw,0,0
505,draw,0,0
506,draw,0,0
507,draw,0,0
508,draw,0,0
509,draw,0,0
510,draw,0,0
511,draw,0,0
512,DQN,1,-1
513,draw,0,0
514,draw,0,0
515,draw,0,0
516,DQN_2,-1,1
517,draw,0,0
518,draw,0,0
519,draw,0,0
520,draw,0,0
521,draw,0,0
522,draw,0,0
523,draw,0,0
524,draw,0,0
525,draw,0,0
526,draw,0,0
527,draw,0,0
528,draw,0,0
529,draw,0,0
530,draw,0,0
531,draw,0,0
532,draw,0,0
533,draw,0,0
534,DQN,1,-1
535,draw,0,0
536,draw,0,0
537,draw,0,0
538,draw,0,0
539,draw,0,0
540,DQN_2,-1,1
541,DQN_2,-1,1
542,draw,0,0
543,draw,0,0
544,DQN,1,-1
545,draw,0,0
546,DQN,1,-1
547,DQN_2,-1,1
548,draw,0,0
549,draw,0,0
550,DQN,1,-1
551,DQN,1,-1
552,draw,0,0
553,draw,0,0
554,DQN,1,-1
555,draw,0,0
556,draw,0,0
557,draw,0,0
558,DQN,1,-1
559,draw,0,0
560,draw,0,0
561,draw,0,0
562,draw,0,0
563,DQN_2,-1,1
564,DQN,1,-1
565,draw,0,0
566,DQN_2,-1,1
567,draw,0,0
568,DQN_2,-1,1
569,draw,0,0
570,DQN_2,-1,1
571,draw,0,0
572,draw,0,0
573,DQN,1,-1
574,draw,0,0
575,draw,0,0
576,draw,0,0
577,draw,0,0
578,draw,0,0
579,draw,0,0
580,draw,0,0
581,DQN_2,-1,1
582,draw,0,0
583,draw,0,0
584,draw,0,0
585,DQN,1,-1
586,draw,0,0
587,DQN_2,-1,1
588,draw,0,0
589,draw,0,0
590,DQN_2,-1,1
591,draw,0,0
592,draw,0,0
593,draw,0,0
594,draw,0,0
595,draw,0,0
596,draw,0,0
597,DQN_2,-1,1
598,draw,0,0
599,draw,0,0
600,draw,0,0
601,DQN_2,-1,1
602,draw,0,0
603,draw,0,0
604,draw,0,0
605,draw,0,0
606,draw,0,0
607,draw,0,0
608,draw,0,0
609,draw,0,0
610,draw,0,0
611,draw,0,0
612,DQN,1,-1
613,DQN_2,-1,1
614,draw,0,0
615,draw,0,0
616,draw,0,0
617,draw,0,0
618,draw,0,0
619,draw,0,0
620,draw,0,0
621,draw,0,0
622,draw,0,0
623,draw,0,0
624,draw,0,0
625,draw,0,0
626,draw,0,0
627,draw,0,0
628,draw,0,0
629,draw,0,0
630,draw,0,0
631,draw,0,0
632,draw,0,0
633,DQN_2,-1,1
634,draw,0,0
635,draw,0,0
636,draw,0,0
637,draw,0,0
638,draw,0,0
639,DQN_2,-1,1
640,DQN_2,-1,1
641,draw,0,0
642,draw,0,0
643,draw,0,0
644,draw,0,0
645,draw,0,0
646,draw,0,0
647,draw,0,0
648,draw,0,0
649,DQN,1,-1
650,draw,0,0
651,draw,0,0
652,draw,0,0
653,DQN_2,-1,1
654,draw,0,0
655,draw,0,0
656,draw,0,0
657,draw,0,0
658,draw,0,0
659,DQN_2,-1,1
660,draw,0,0
661,DQN_2,-1,1
662,draw,0,0
663,draw,0,0
664,DQN_2,-1,1
665,draw,0,0
666,DQN_2,-1,1
667,draw,0,0
668,draw,0,0
669,draw,0,0
670,draw,0,0
671,draw,0,0
672,draw,0,0
673,draw,0,0
674,DQN_2,-1,1
675,DQN_2,-1,1
676,draw,0,0
677,draw,0,0
678,draw,0,0
679,draw,0,0
680,DQN,1,-1
681,draw,0,0
682,draw,0,0
683,draw,0,0
684,draw,0,0
685,DQN,1,-1
686,draw,0,0
687,draw,0,0
688,draw,0,0
689,draw,0,0
690,DQN_2,-1,1
691,draw,0,0
692,draw,0,0
693,draw,0,0
694,draw,0,0
695,draw,0,0
696,DQN_2,-1,1
697,DQN_2,-1,1
698,DQN_2,-1,1
699,DQN_2,-1,1
700,draw,0,0
701,DQN_2,-1,1
702,DQN_2,-1,1
703,draw,0,0
704,DQN_2,-1,1
705,draw,0,0
706,draw,0,0
707,draw,0,0
708,DQN_2,-1,1
709,DQN_2,-1,1
710,draw,0,0
711,draw,0,0
712,draw,0,0
713,DQN_2,-1,1
714,draw,0,0
715,DQN_2,-1,1
716,draw,0,0
717,draw,0,0
718,draw,0,0
719,DQN_2,-1,1
720,DQN_2,-1,1
721,draw,0,0
722,draw,0,0
723,DQN_2,-1,1
724,DQN,1,-1
725,DQN_2,-1,1
726,draw,0,0
727,DQN,1,-1
728,DQN_2,-1,1
729,draw,0,0
730,draw,0,0
731,DQN_2,-1,1
732,DQN_2,-1,1
733,draw,0,0
734,draw,0,0
735,draw,0,0
736,DQN_2,-1,1
737,DQN_2,-1,1
738,draw,0,0
739,draw,0,0
740,DQN,1,-1
741,draw,0,0
742,DQN_2,-1,1
743,draw,0,0
744,DQN_2,-1,1
745,draw,0,0
746,draw,0,0
747,draw,0,0
748,DQN_2,-1,1
749,draw,0,0
750,DQN_2,-1,1
751,DQN,1,-1
752,draw,0,0
753,draw,0,0
754,DQN_2,-1,1
755,draw,0,0
756,draw,0,0
757,draw,0,0
758,DQN,1,-1
759,DQN_2,-1,1
760,draw,0,0
761,DQN,1,-1
762,DQN_2,-1,1
763,DQN,1,-1
764,DQN_2,-1,1
765,DQN_2,-1,1
766,draw,0,0
767,DQN,1,-1
768,draw,0,0
769,draw,0,0
770,DQN,1,-1
771,DQN,1,-1
772,DQN,1,-1
773,draw,0,0
774,draw,0,0
775,draw,0,0
776,DQN_2,-1,1
777,DQN_2,-1,1
778,draw,0,0
779,draw,0,0
780,draw,0,0
781,DQN_2,-1,1
782,draw,0,0
783,draw,0,0
784,draw,0,0
785,draw,0,0
786,draw,0,0
787,DQN_2,-1,1
788,draw,0,0
789,draw,0,0
790,draw,0,0
791,DQN_2,-1,1
792,draw,0,0
793,draw,0,0
794,draw,0,0
795,draw,0,0
796,draw,0,0
797,draw,0,0
798,draw,0,0
799,draw,0,0
800,draw,0,0
801,draw,0,0
802,draw,0,0
803,draw,0,0
804,draw,0,0
805,draw,0,0
806,draw,0,0
807,draw,0,0
808,draw,0,0
809,draw,0,0
810,draw,0,0
811,draw,0,0
812,draw,0,0
813,draw,0,0
814,draw,0,0
815,draw,0,0
816,DQN,1,-1
817,draw,0,0
818,DQN,1,-1
819,DQN,1,-1
820,draw,0,0
821,draw,0,0
822,draw,0,0
823,DQN_2,-1,1
824,draw,0,0
825,draw,0,0
826,draw,0,0
827,draw,0,0
828,draw,0,0
829,draw,0,0
830,DQN,1,-1
831,draw,0,0
832,draw,0,0
833,draw,0,0
834,draw,0,0
835,draw,0,0
836,draw,0,0
837,DQN_2,-1,1
838,draw,0,0
839,draw,0,0
840,draw,0,0
841,draw,0,0
842,draw,0,0
843,draw,0,0
844,draw,0,0
845,draw,0,0
846,draw,0,0
847,draw,0,0
848,draw,0,0
849,draw,0,0
850,draw,0,0
851,draw,0,0
852,draw,0,0
853,draw,0,0
854,draw,0,0
855,draw,0,0
856,draw,0,0
857,DQN_2,-1,1
858,draw,0,0
859,draw,0,0
860,draw,0,0
861,draw,0,0
862,draw,0,0
863,DQN_2,-1,1
864,DQN_2,-1,1
865,draw,0,0
866,draw,0,0
867,DQN_2,-1,1
868,DQN_2,-1,1
869,draw,0,0
870,draw,0,0
871,DQN_2,-1,1
872,draw,0,0
873,draw,0,0
874,draw,0,0
875,draw,0,0
876,DQN_2,-1,1
877,DQN,1,-1
878,draw,0,0
879,draw,0,0
880,draw,0,0
881,DQN,1,-1
882,draw,0,0
883,draw,0,0
884,draw,0,0
885,draw,0,0
886,draw,0,0
887,draw,0,0
888,DQN,1,-1
889,draw,0,0
890,DQN,1,-1
891,draw,0,0
892,draw,0,0
893,draw,0,0
894,draw,0,0
895,draw,0,0
896,draw,0,0
897,draw,0,0
898,draw,0,0
899,DQN_2,-1,1
900,draw,0,0
901,draw,0,0
902,draw,0,0
903,draw,0,0
904,draw,0,0
905,draw,0,0
906,draw,0,0
907,draw,0,0
908,draw,0,0
909,DQN_2,-1,1
910,draw,0,0
911,draw,0,0
912,draw,0,0
913,draw,0,0
914,draw,0,0
915,draw,0,0
916,DQN,1,-1
917,draw,0,0
918,draw,0,0
919,draw,0,0
920,draw,0,0
921,DQN_2,-1,1
922,draw,0,0
923,draw,0,0
