episode,winner,PHC,PHC_2
266,PHC,1,-1
267,PHC_2,-1,1
268,PHC_2,-1,1
269,PHC,1,-1
270,PHC,1,-1
271,PHC,1,-1
272,PHC,1,-1
273,PHC_2,-1,1
274,PHC,1,-1
275,PHC,1,-1
276,draw,0,0
277,PHC,1,-1
278,PHC,1,-1
279,PHC_2,-1,1
280,PHC_2,-1,1
281,PHC_2,-1,1
282,PHC_2,-1,1
283,PHC_2,-1,1
284,PHC_2,-1,1
285,PHC,1,-1
286,PHC_2,-1,1
287,PHC,1,-1
288,PHC,1,-1
289,PHC_2,-1,1
290,PHC,1,-1
291,PHC_2,-1,1
292,PHC_2,-1,1
293,PHC,1,-1
294,PHC,1,-1
295,PHC_2,-1,1
296,PHC_2,-1,1
297,PHC_2,-1,1
298,PHC,1,-1
299,PHC,1,-1
300,PHC,1,-1
301,PHC_2,-1,1
302,PHC,1,-1
303,PHC,1,-1
304,PHC_2,-1,1
305,PHC_2,-1,1
306,draw,0,0
307,PHC_2,-1,1
308,PHC_2,-1,1
309,PHC,1,-1
310,PHC,1,-1
311,PHC,1,-1
312,PHC,1,-1
313,PHC_2,-1,1
314,PHC_2,-1,1
315,PHC_2,-1,1
316,PHC,1,-1
317,PHC,1,-1
318,PHC_2,-1,1
319,PHC,1,-1
320,PHC,1,-1
321,PHC,1,-1
322,PHC,1,-1
323,PHC,1,-1
324,PHC,1,-1
325,PHC_2,-1,1
326,PHC,1,-1
327,PHC,1,-1
328,PHC,1,-1
329,PHC,1,-1
330,PHC,1,-1
331,PHC_2,-1,1
332,PHC_2,-1,1
333,PHC,1,-1
334,PHC,1,-1
335,PHC_2,-1,1
336,PHC,1,-1
337,PHC_2,-1,1
338,PHC_2,-1,1
339,PHC,1,-1
340,PHC_2,-1,1
341,PHC_2,-1,1
342,PHC_2,-1,1
343,PHC,1,-1
344,PHC,1,-1
345,PHC,1,-1
346,PHC,1,-1
347,PHC,1,-1
348,PHC_2,-1,1
349,PHC_2,-1,1
350,PHC_2,-1,1
351,PHC,1,-1
352,PHC_2,-1,1
353,PHC,1,-1
354,PHC,1,-1
355,PHC_2,-1,1
356,PHC,1,-1
357,PHC_2,-1,1
358,draw,0,0
359,PHC_2,-1,1
360,PHC,1,-1
361,PHC_2,-1,1
362,PHC,1,-1
363,PHC_2,-1,1
364,PHC_2,-1,1
365,PHC_2,-1,1
366,PHC_2,-1,1
367,PHC,1,-1
368,PHC,1,-1
369,PHC_2,-1,1
370,PHC_2,-1,1
371,PHC,1,-1
372,PHC,1,-1
373,PHC,1,-1
374,PHC,1,-1
375,PHC_2,-1,1
376,PHC,1,-1
377,PHC_2,-1,1
378,PHC_2,-1,1
379,PHC,1,-1
380,PHC,1,-1
381,PHC_2,-1,1
382,PHC,1,-1
383,PHC,1,-1
384,PHC_2,-1,1
385,PHC,1,-1
386,PHC_2,-1,1
387,PHC,1,-1
388,PHC_2,-1,1
389,PHC_2,-1,1
390,PHC_2,-1,1
391,PHC_2,-1,1
392,PHC_2,-1,1
393,PHC_2,-1,1
394,PHC_2,-1,1
395,PHC_2,-1,1
396,PHC_2,-1,1
397,PHC,1,-1
398,PHC,1,-1
399,PHC_2,-1,1
400,PHC_2,-1,1
401,PHC_2,-1,1
402,PHC_2,-1,1
403,PHC_2,-1,1
404,PHC_2,-1,1
405,PHC,1,-1
406,PHC_2,-1,1
407,PHC_2,-1,1
408,PHC,1,-1
409,PHC,1,-1
410,PHC_2,-1,1
411,PHC,1,-1
412,PHC,1,-1
413,PHC,1,-1
414,PHC_2,-1,1
415,PHC,1,-1
416,PHC,1,-1
417,PHC,1,-1
418,PHC,1,-1
419,PHC,1,-1
420,PHC_2,-1,1
421,PHC_2,-1,1
